,Title,Job Type,Company Name,Company Industry,Company City,Company Country,Salary Avg,Salary Min,Salary Max,Experience,Min Experience,Max Experience,Skills,Published
0,Data Analyst - Kompas.id,Full-time,Kompas Gramedia,News,Jakarta,Indonesia,14000000,10000000,18000000,1-4,1,4,"['MySQL', 'Web Services', 'Data Visualization', 'Python', 'Statistical Analysis']",2022-01-18 09:11:38
1,Data Engineer - Kompas.id,Full-time,Kompas Gramedia,News,Jakarta,Indonesia,14000000,10000000,18000000,1-4,1,4,"['MySQL', 'Data Warehouse', 'Python', 'Data Management', 'Business Intelligence']",2022-01-18 09:06:44
2,Data Engineer,Full-time,Cicil,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Python', 'SQL', 'R']",2022-01-17 06:37:14
3,Database Engineer (DBA),Full-time,TIXid,Digital Entertainment,Jakarta,Indonesia,8,1,15,1-4,1,4,"['Databases', 'DevOps', 'Engineering']",2022-01-17 02:46:41
4,Data Scientist,Full-time,PT WHIM Management Indonesia (Evos E-sports),Entertainment Industry,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Science', 'Data Management', 'Data Analysis']",2022-01-15 08:11:48
5,Data Governance,Full-time,PT. Rekruter Digital Indonesia,Human Resource,Jakarta,Indonesia,17500000,10000000,25000000,4-7,4,7,"['Java', 'Python', 'Data Science', 'Data Management', 'Big Data', 'Financial Analysis', 'Tableau', 'Data Analysis']",2022-01-14 04:19:05
6,Data Engineer,Full-time,PT. Rekruter Digital Indonesia,Human Resource,Jakarta,Indonesia,17500000,10000000,25000000,1-4,1,4,"['Corporate Finance', 'Java', 'Python', 'Data Science', 'Data Management', 'Big Data', 'Tableau']",2022-01-14 04:09:26
7,Database Administrator,Full-time,PT. Softorb Technology Indonesia,IT & Cybersecurity,Jakarta,Indonesia,7500000,5000000,10000000,1-4,1,4,"['MySQL', 'Git', 'SQL Server', 'PostgreSQL']",2022-01-14 03:34:15
8,Data Analyst (Mid),Full-time,Bobobox Indonesia,Hotels & Accomodation,"Bandung, Java",Indonesia,0,0,0,1-4,1,4,"['Databases', 'Big Data', 'Data Analysis']",2022-01-13 09:57:44
9,Database Engineer,Full-time,PT Xapiens Teknologi Indonesia,IT & Cybersecurity,Tangerang,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Data Warehouse', 'SQL Server', 'Oracle', 'PostgreSQL', 'Cloud Computing']",2022-01-12 14:16:27
10,Data Science Lecturer (JKT),Full-time,Purwadhika Digital Technology School,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Python', 'Data Science', 'Machine Learning']",2022-01-12 09:15:56
11,Data Science Lecturer (BSD),Full-time,Purwadhika Digital Technology School,Education Tech,Tangerang,Indonesia,0,0,0,1-4,1,4,"['Python', 'Data Science', 'Machine Learning']",2022-01-12 09:13:45
12,Data Scientist,Full-time,Aplikasi Super,Ecommerce logistics,Surabaya,Indonesia,6500000,5000000,8000000,1-4,1,4,"['Data Science', 'Data Management', 'Data Analysis']",2022-01-11 17:20:55
13,Data Analyst,Full-time,Cicil,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Python', 'SQL', 'R']",2022-01-11 07:34:44
14,Data Analyst Intern,Internship,Indopasifik Teknologi Medika Indonesia,Healthcare Services,Jakarta,Indonesia,2150000,2000000,2300000,0-1,0,1,"['MySQL', 'Databases', 'Data Entry', 'SQL Server', 'Python', 'Data Science', 'Big Data', 'Microsoft Excel', 'Data Analysis', 'Data Mining']",2022-01-11 03:22:57
15,Data Engineer,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Science', 'Big Data', 'Data Analysis']",2022-01-10 12:57:13
