,Link,Position,Company,Company Link,Location,Salary,Published Date
0,https://www.jobstreet.co.id/id/job/data-warehouse-engineer-3757510?jobId=jobstreet-id-job-3757510&sectionRank=1&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Warehouse Engineer,PT PEFINDO Biro Kredit,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-pefindo-biro-kredit/,PT PEFINDO Biro Kredit,NA,2022-01-16T17:42:32.000Z
1,https://www.jobstreet.co.id/id/job/data-engineer-3750622?jobId=jobstreet-id-job-3750622&sectionRank=2&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Solusi Pintap Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-solusi-pintap-indonesia/,PT Solusi Pintap Indonesia,NA,2022-01-11T03:46:39.000Z
2,https://www.jobstreet.co.id/id/job/etl-developer-3753016?jobId=jobstreet-id-job-3753016&sectionRank=3&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT Asian Sigma Teknologi (SIGMATECH),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-asian-sigma-teknologi-sigmatech/,PT Asian Sigma Teknologi (SIGMATECH),NA,2022-01-12T07:45:00.000Z
3,https://www.jobstreet.co.id/id/job/data-engineer-3746172?jobId=jobstreet-id-job-3746172&sectionRank=4&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Inti Citra Agung (Optik Melawai),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-inti-citra-agung-optik-melawai/,PT Inti Citra Agung (Optik Melawai),NA,2022-01-16T20:00:58.000Z
4,https://www.jobstreet.co.id/id/job/data-engineer-etl-developer-3746332?jobId=jobstreet-id-job-3746332&sectionRank=5&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer / ETL Developer,PT. HTC Global Software Services,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-htc-global-software-services/,PT. HTC Global Software Services,NA,2022-01-16T20:00:54.000Z
5,https://www.jobstreet.co.id/id/job/data-engineer-3747192?jobId=jobstreet-id-job-3747192&sectionRank=6&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,"PT. Metrodata Electronics, Tbk",https://www.jobstreet.co.id/id/job-search/jobs-at-pt-metrodata-electronics-tbk/,"PT. Metrodata Electronics, Tbk",NA,2022-01-16T20:00:39.000Z
6,https://www.jobstreet.co.id/id/job/data-engineer-3746559?jobId=jobstreet-id-job-3746559&sectionRank=7&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Serasi Autoraya (TRAC - Astra ),https://www.jobstreet.co.id/id/job-search/jobs-at-pt-serasi-autoraya-trac-astra/,PT Serasi Autoraya (TRAC - Astra ),NA,2022-01-16T20:00:49.000Z
7,https://www.jobstreet.co.id/id/job/data-engineer-3759154?jobId=jobstreet-id-job-3759154&sectionRank=8&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Sinergie Sentra Digital,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-sinergie-sentra-digital/,PT Sinergie Sentra Digital,NA,2022-01-17T10:46:10.000Z
8,https://www.jobstreet.co.id/id/job/senior-data-scientist-3740874?jobId=jobstreet-id-job-3740874&sectionRank=9&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Senior Data Scientist,PT Sharing Vision Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-sharing-vision-indonesia/,PT Sharing Vision Indonesia,NA,2022-01-13T20:01:52.000Z
9,https://www.jobstreet.co.id/id/job/etl-developer-3747271?jobId=jobstreet-id-job-3747271&sectionRank=10&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT Artha Solutions Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-artha-solutions-indonesia/,PT Artha Solutions Indonesia,NA,2022-01-16T20:00:38.000Z
10,https://www.jobstreet.co.id/id/job/data-engineer-3742816?jobId=jobstreet-id-job-3742816&sectionRank=11&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Tech Mahindra Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-tech-mahindra-indonesia/,PT Tech Mahindra Indonesia,NA,2022-01-14T20:01:00.000Z
11,https://www.jobstreet.co.id/id/job/senior-data-engineer-3747661?jobId=jobstreet-id-job-3747661&sectionRank=12&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Senior Data Engineer,Yayasan Bina Nusantara,https://www.jobstreet.co.id/id/job-search/jobs-at-yayasan-bina-nusantara/,Yayasan Bina Nusantara,NA,2022-01-16T20:00:33.000Z
12,https://www.jobstreet.co.id/id/job/etl-developer-3738414?jobId=jobstreet-id-job-3738414&sectionRank=13&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,ETL Developer,PT IDStar Cipta Teknologi,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-idstar-cipta-teknologi/,PT IDStar Cipta Teknologi,NA,2022-01-15T20:01:14.000Z
13,https://www.jobstreet.co.id/id/job/data-engineer-3756818?jobId=jobstreet-id-job-3756818&sectionRank=14&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT. ABeam Analytics Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-abeam-analytics-indonesia/,PT. ABeam Analytics Indonesia,NA,2022-01-14T10:45:26.000Z
14,https://www.jobstreet.co.id/id/job/data-engineer-3756035?jobId=jobstreet-id-job-3756035&sectionRank=15&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Mega Perintis Tbk,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-mega-perintis-tbk/,PT Mega Perintis Tbk,NA,2022-01-14T05:35:39.000Z
15,https://www.jobstreet.co.id/id/job/database-engineer-3758764?jobId=jobstreet-id-job-3758764&sectionRank=16&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Database Engineer,PT Arya Noble,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-arya-noble/,PT Arya Noble,NA,2022-01-17T08:11:57.000Z
16,https://www.jobstreet.co.id/id/job/data-engineer-3753840?jobId=jobstreet-id-job-3753840&sectionRank=17&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT Nomura Research Institute Indonesia,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-nomura-research-institute-indonesia/,PT Nomura Research Institute Indonesia,NA,2022-01-13T01:34:33.000Z
17,https://www.jobstreet.co.id/id/job/data-engineer-3755426?jobId=jobstreet-id-job-3755426&sectionRank=18&token=0~ea4bdd59-ff0e-4c62-8b8f-240b10858d6c&fr=SRP%20View%20In%20New%20Tab,Data Engineer,PT KOLTIVA,https://www.jobstreet.co.id/id/job-search/jobs-at-pt-koltiva/,PT KOLTIVA,NA,2022-01-14T01:23:59.000Z
